Symbol,Name,Country,IPO Year,Volume,Sector,Industry
ADX,Adams Diversified Equity Fund Inc.,United States,,193210,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,United States,,635658,Public Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,2019,25826,,
AEG,AEGON N.V. Common Stock,Netherlands,,1556632,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,207638,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,18708,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,8479,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,1337275,,
AENZ,Aenza S.A.A. American Depositary Shares,,2018,44474,Capital Goods,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,United States,,8721602,Consumer Services,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,435486,Technology,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,,4134854,Public Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,,136974,Public Utilities,Electric Utilities: Central
AEVA,Aeva Technologies Inc. Common Stock,,2020,1712808,Capital Goods,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,43866,Finance,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,United States,,217721,Finance,Property-Casualty Insurers
